round,total_env_steps,best_distance,mean_distance,successes_this_round,cumulative_successes,alpha,coverage_ratio
1,800,4.622266699731461,5.122967697447922,0.0,0.0,0.0,0.25
2,1600,4.5225839413642195,5.1410805911395405,0.0,0.0,0.0,0.2777777777777778
3,2400,4.29982889966794,5.147621052078521,0.0,0.0,0.0,0.2777777777777778
4,3200,4.384770465391662,5.139247390556131,0.0,0.0,0.0,0.3055555555555556
5,4000,4.32837739634302,5.1274862476720395,0.0,0.0,0.0,0.3055555555555556
6,4800,3.73081537742996,5.055211022965236,0.0,0.0,0.0,0.3055555555555556
7,5600,2.5838746543242714,4.763487467795086,0.0,0.0,0.0,0.3888888888888889
8,6400,2.6246105069719694,4.255199975861176,0.0,0.0,0.0,0.4166666666666667
9,7200,2.418168654570158,4.488925323419139,0.0,0.0,0.0,0.4166666666666667
10,8000,2.03170550784525,4.131510756052133,0.0,0.0,0.0,0.4722222222222222
11,8800,2.0763152485096428,3.7303084367521784,0.0,0.0,0.0,0.5
12,9600,1.8977339946695333,2.84298828752913,0.0,0.0,0.0,0.5
13,10400,1.9222418144654707,3.297118015564735,0.0,0.0,0.0,0.5277777777777778
14,11200,1.8640683320753024,3.209823075537263,0.0,0.0,0.0,0.5833333333333334
15,12000,1.7314877905297021,3.1957511897426607,0.0,0.0,0.0,0.5833333333333334
16,12800,1.8266429173024052,2.981523010936199,0.0,0.0,0.0,0.5833333333333334
17,13600,1.7092384484226302,3.3630342156503876,0.0,0.0,0.0,0.6111111111111112
18,14400,1.769229914543963,3.1665889898020967,0.0,0.0,0.0,0.6388888888888888
19,15200,1.7320303485901771,3.292660742644826,0.0,0.0,0.0,0.6388888888888888
20,16000,1.867404229844382,2.9932495712776017,0.0,0.0,0.0,0.6388888888888888
21,16800,1.6583232726703319,3.07918309184492,0.0,0.0,0.0,0.6666666666666666
22,17600,1.4414550041788128,3.076396817433503,0.0,0.0,0.0,0.6666666666666666
23,18400,1.4712004978524238,3.028692815914962,0.0,0.0,0.0,0.6666666666666666
24,19200,1.5446828269597455,3.1689711600697286,0.0,0.0,0.0,0.6666666666666666
25,20000,1.4004903072003758,3.154984087752389,0.0,0.0,0.0,0.6666666666666666
26,20800,1.5256250737614192,2.9931197358320984,0.0,0.0,0.0,0.6666666666666666
27,21600,1.4512291748539305,2.754201102535968,0.0,0.0,0.0,0.6666666666666666
28,22400,1.222530542716745,2.814576079952611,0.0,0.0,0.0,0.6666666666666666
29,23200,0.08307458231775763,3.282372249172579,2.0,2.0,0.0,0.7222222222222222
30,24000,0.019538378270633677,2.7506219793370574,6.0,8.0,0.0,0.9444444444444444
31,24800,0.042184412434448815,1.645265977529874,8.0,16.0,0.0,0.9722222222222222
32,25600,0.02939002992371326,2.6151898406336627,7.0,23.0,0.0,1.0
33,26400,0.09833233026062083,2.754501438830471,6.0,29.0,0.0,1.0
34,27200,0.0229118091114927,2.385859930367565,7.0,36.0,0.0,1.0
35,28000,0.09726673085616024,2.7284157321962765,7.0,43.0,0.0,1.0
36,28800,0.03729329757169533,2.8000527972349323,7.0,50.0,0.0,1.0
37,29600,0.06994455627987956,2.1863071031388905,8.0,58.0,0.0,1.0
38,30400,0.09196754915115468,2.398183182581143,8.0,66.0,0.0,1.0
39,31200,0.08018586384164339,0.1818713987720364,8.0,74.0,0.0,1.0
40,32000,0.03914840291350468,2.3582670337926404,8.0,82.0,0.0,1.0
41,32800,0.05129470150608464,2.5545864078327623,7.0,89.0,0.0,1.0
42,33600,0.059165743956507644,0.2897142492152741,8.0,97.0,0.0,1.0
43,34400,0.08270216416606627,3.127819009258925,6.0,103.0,0.0,1.0
44,35200,0.05199876359439439,2.820662001195851,7.0,110.0,0.0,1.0
45,36000,0.07614549458968123,1.6768676113866496,8.0,118.0,0.0,1.0
46,36800,0.019241596725958782,0.1686923841297945,8.0,126.0,0.0,1.0
47,37600,0.046857491097002546,0.1257831666963959,8.0,134.0,0.0,1.0
48,38400,0.08308240347138668,0.17587397233976218,8.0,142.0,0.0,1.0
49,39200,0.033516000721453304,3.1566536122269095,7.0,149.0,0.0,1.0
50,40000,0.02689766225213735,2.9504515049637936,7.0,156.0,0.0,1.0
